question,option1,option2,option3,option4,answer
Choose the correct Tamil equivalent for 'Internet',தேடுபொறி,முகநூல்,புலனம்,இணையம்,4
'குரல்தேடல்' என்பதன் ஆங்கிலச் சொல் என்ன?,Voice Search,Touch Screen,Search Engine,Clock wise,1
Match the following:\nA. Facebook 1. செயலி\nB. Whatsapp 2. தொடுதிரை\nC. Touch Screen 3. புலனம்\nD. App 4. முகநூல்,4-3-1-2,4-3-2-1,3-4-2-1,3-4-1-2,2
பொருத்துக:\nA. கண்டம் 1. Weather\nB. தட்பவெப்பநிலை 2. Climate\nC. வானிலை 3. Continent\nD. வலசை 4. Migration,3-2-1-4,3-1-2-4,2-3-1-4,1-2-3-4,1
Which of the following pairs is correct?,Clock wise - இடஞ்சுழி,Anti Clock wise - வலஞ்சுழி,Search engine - தேடுபொறி,Voice Search - தொடுதிரை,3
Identify the incorrect pair,Migration - வலசை,Sanctuary - புகலிடம்,Gravitational Field - செயற்கை நுண்ணறிவு,Super Computer - மீத்திறன் கணினி,3
Consider the following pairs:\nI. Satellite - செயற்கைக் கோள்\nII. Intelligence - நுண்ணறிவு\nWhich of the above is/are correct?,I only,II only,Both I and II,Neither I nor II,3
Which of the following is correctly linked?,Education - நூலகம்,Library - கல்வி,Primary School - தொடக்கப் பள்ளி,Higher Secondary School - மின்படிக்கட்டு,3
How many of the following pairs are correctly matched?\n1. Escalator - மின்தூக்கி\n2. Lift - மின்படிக்கட்டு\n3. E Mail - மின்னஞ்சல்,0,1,2,3,2
Choose the correct Tamil equivalent for 'Compact Disk (CD)',மின்நூலகம்,குறுந்தகடு,மின் இதழ்கள்,மின்நூல்,2
'நல்வரவு' என்பதன் ஆங்கிலச் சொல் என்ன?,Welcome,Sculptures,Chips,Makeup,1
Match the following:\nA. E Library 1. மின்நூல்\nB. E Book 2. மின்நூலகம்\nC. E Magazine 3. சிற்பங்கள்\nD. Sculptures 4. மின் இதழ்கள்,2-1-4-3,1-2-4-3,2-1-3-4,2-4-1-3,1
பொருத்துக:\nA. சில்லுகள் 1. Readymade Dress\nB. ஆயத்த ஆடை 2. Chips\nC. ஒப்பனை 3. Tiffin\nD. சிற்றுண்டி 4. Makeup,2-1-4-3,1-2-4-3,2-1-3-4,1-2-3-4,1
Which of the following pairs is correct?,Commodity - பண்டம்,Ferries - பாரம்பரியம்,Heritage - பயணப்படகுகள்,Consumer - தொழில் முனைவோர்,1
Identify the incorrect pair,Voyage - கடற்பயணம்,Entrepreneur - தொழில் முனைவோர்,Adulteration - வணிகர்,Merchant - வணிகர்,3
Consider the following pairs:\nI. Patriotism - நாட்டுப்பற்று\nII. Art Gallery - கலைக்கூடம்\nWhich of the above is/are correct?,I only,II only,Both I and II,Neither I nor II,3
Which of the following is correctly linked?,Literature - இலக்கியம்,Knowledge of Reality - அறக்கட்டளை,Trust - மெய்யுணர்வு,Volunteer - இளம் செஞ்சிலுவைச் சங்கம்,1
How many of the following pairs are correctly matched?\n1. Junior Red Cross - இளம் செஞ்சிலுவைச் சங்கம்\n2. Scouts & Guides - சாரண சாரணியர்\n3. Social Worker - சமூகப் பணியாளர்,0,1,2,3,4
Choose the correct Tamil equivalent for 'Humanity',கருணை,மனித நேயம்,உறுப்பு மாற்று அறுவை சிகிச்சை,நோபல் பரிசு,2
'சரக்குந்து' என்பதன் ஆங்கிலச் சொல் என்ன?,Lorry,Ferry,Lift,Escalator,1
Match the following:\nA. Mercy 1. நோபல் பரிசு\nB. Transplantation 2. கருணை\nC. Nobel Prize 3. உறுப்பு மாற்று அறுவை சிகிச்சை\nD. Lorry 4. சரக்குந்து,2-3-1-4,2-1-3-4,1-3-2-4,3-2-1-4,1
பொருத்துக:\nA. கலைக்கூடம் 1. Knowledge of Reality\nB. இலக்கியம் 2. Art Gallery\nC. மெய்யுணர்வு 3. Trust\nD. அறக்கட்டளை 4. Literature,2-4-1-3,2-1-4-3,1-2-3-4,2-4-3-1,1
Which of the following pairs is correct?,Volunteer - சாரண சாரணியர்,Scouts & Guides - தன்னார்வலர்,Social Worker - சமூகப் பணியாளர்,Humanity - கருணை,3
Identify the incorrect pair,Mercy - கருணை,Transplantation - உறுப்பு மாற்று அறுவை சிகிச்சை,Nobel Prize - நோபல் பரிசு,Lorry - பயணப்படகுகள்,4
Consider the following pairs:\nI. Entrepreneur - வணிகர்\nII. Merchant - தொழில் முனைவோர்\nWhich of the above is/are correct?,I only,II only,Both I and II,Neither I nor II,4
Which of the following is correctly linked?,Voyage - பாரம்பரியம்,Heritage - கடற்பயணம்,Consumer - நுகர்வோர்,Ferries - பண்டம்,3
How many of the following pairs are correctly matched?\n1. Commodity - பண்டம்\n2. Tiffin - சிற்றுண்டி\n3. Makeup - ஒப்பனை,0,1,2,3,4
