question,option1,option2,option3,option4,answer
"Media" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,ஊடகம்,மொழியியல்,ஒலியியல்,இதழியல்,1
"மொழியியல்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Linguistics,Phonology,Journalism,Magazine,1
"பொருத்துக:\n\na. Phonology - 1. ஒலியியல்\n\nb. Journalism - 2. இதழியல்\n\nc. Magazine - 3. பருவ இதழ்\n\nd. Puppetry - 4. பொம்மலாட்டம்",a-1 b-2 c-3 d-4,a-2 b-1 c-4 d-3,a-3 b-4 c-1 d-2,a-4 b-3 c-2 d-1,1
"பொருத்துக:\n\na. எழுத்திலக்கணம் - 1. Orthography\n\nb. உரையாடல் - 2. Dialogue\n\nc. தீவு - 3. Island\n\nd. இயற்கை வளம் - 4. Natural Resource",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-3 b-4 c-1 d-2,a-4 b-1 c-2 d-3,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Wild Animals - வன விலங்குகள்,Forest Conservator - காடு,Parable - வனம்,Jungle - உவமை,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Forestry - வனவியல்,Bio Diversity - பல்லுயிர் மண்டலம்,Ballad - கதைப்பாடல்,Courage - தியாகம்,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Sacrifice - தியாகம்\n\n2. Political Genius - அரசியல் மேதை\n\n3. Elocution - முழக்கம்\n\n4. Unity - பேச்சாற்றல்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Slogan - முழக்கம்\n\n2. Equality - கலங்கரை விளக்கம்",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Light house - கலங்கரை விளக்கம்\n\n2. Ocean - பெருங்கடல்\n\n3. Marine technology - கப்பல் தொழில்நுட்பம்\n\n4. Marine creature - கடல்வாழ் உயிரினம்",1,2,3,4,4
"Bio Diversity" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,பல்லுயிர் மண்டலம்,வனவியல்,கதைப்பாடல்,துணிவு,1
"கதைப்பாடல்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Ballad,Courage,Sacrifice,Political Genius,1
"பொருத்துக:\n\na. Courage - 1. துணிவு\n\nb. Sacrifice - 2. தியாகம்\n\nc. Political Genius - 3. அரசியல் மேதை\n\nd. Elocution - 4. பேச்சாற்றல்",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-3 b-4 c-1 d-2,a-4 b-1 c-2 d-3,1
"பொருத்துக:\n\na. ஒற்றுமை - 1. Unity\n\nb. முழக்கம் - 2. Slogan\n\nc. சமத்துவம் - 3. Equality\n\nd. கலங்கரை விளக்கம் - 4. Light house",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Ocean - பெருங்கடல்,Marine technology - கடல்வாழ் உயிரினம்,Marine creature - கப்பல் தொழில்நுட்பம்,Submarine - துறைமுகம்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Harbour - துறைமுகம்,Storm - புயல்,Sailor - மாலுமி,Anchor - கப்பல்தளம்,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Shipyard - கப்பல்தளம்\n\n2. Summer Vacation - கோடை விடுமுறை\n\n3. Child Labour - பட்டம்\n\n4. Degree - குழந்தைத் தொழிலாளர்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Literacy - கல்வியறிவு\n\n2. Moral - சீருடை",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Uniform - சீருடை\n\n2. Guidance - வழிகாட்டுதல்\n\n3. Discipline - ஒழுக்கம்\n\n4. Creator - படைப்பாளர்",1,2,3,4,4
