question,option1,option2,option3,option4,answer
"Morpheme" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,உருபன்,ஒலியன்,ஒப்பிலக்கணம்,பேரகராதி,1
"Water Management" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,நீர் மேலாண்மை,பாசனத் தொழில்நுட்பம்,வெப்ப மண்டலம்,அகழாய்வு,1
"Excavation" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,அகழாய்வு,கல்வெட்டியல்,நடுகல்,பொறிப்பு,1
"Launch Vehicle" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,ஏவு ஊர்தி,ஏவுகணை,கடல் மைல்,காணொலிக் கூட்டம்,1
"Saline Soil" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,களர்நிலம்,தன்னார்வலர்,சொற்றொடர்,கழிமுகங்கள்,1
"Moat" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,அகழி,இளநீர்,கரும்புச் சாறு,கருவூலம்,1
"ஒலியன்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Phoneme,Morpheme,Lexicon,Epigraphy,1
"பாசனத் தொழில்நுட்பம்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Irrigation Technology,Water Management,Tropical Zone,Excavation,1
"கல்வெட்டியல்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Epigraphy,Hero Stone,Inscription,Manuscript,1
"ஏவுகணை" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Missile,Launch Vehicle,Nautical Mile,Download,1
"தன்னார்வலர்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Volunteer,Social Reformer,Passenger,Reformer,1
"கரும்புச் சாறு" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Sugarcane Juice,Tender Coconut,Vegetable Soup,Moat,1
"பொருத்துக:\n\na. Comparative Grammar - 1. ஒப்பிலக்கணம்\n\nb. Lexicon - 2. பேரகராதி\n\nc. Conical Stone - 3. குமிழிக் கல்\n\nd. Tropical Zone - 4. வெப்ப மண்டலம்",a-1 b-2 c-3 d-4,a-2 b-1 c-4 d-3,a-3 b-4 c-1 d-2,a-4 b-3 c-2 d-1,1
"பொருத்துக:\n\na. Hero Stone - 1. நடுகல்\n\nb. Cultural Symbol - 2. பண்பாட்டுக் குறியீடு\n\nc. Embossed sculpture - 3. புடைப்புச் சிற்பம்\n\nd. Inscription - 4. பொறிப்பு",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"பொருத்துக:\n\na. Video Conference - 1. காணொலிக் கூட்டம்\n\nb. Download - 2. பதிவிறக்கம்\n\nc. PNR - 3. பயணியர் பெயர்ப் பதிவு\n\nd. Electronic devices - 4. மின்னணு கருவிகள்",a-1 b-2 c-3 d-4,a-2 b-1 c-4 d-3,a-4 b-3 c-2 d-1,a-3 b-4 c-1 d-2,1
